seller_id,seller_name,zone,email,phone,hire_date
acc2479c-1d7f-42ea-bee9-207653c075b3,Susan Carpenter,Nord,anne58@gmail.com,(032)817-8041,2023-12-04
91dd21ef-be04-4e2e-846f-bd10a7f8a0b8,Jose Nelson,Isole,orobinson@savage.com,001-672-290-4670,2020-12-16
80365f5b-4f77-40d1-9102-6736fe6e7adf,Dominic Herring,Nord,sharondavidson@yahoo.com,520.187.0333,2025-05-15
8ab518a8-580b-4d5b-8813-78fa12233b8c,Debra Fernandez,Centro,williewatson@gmail.com,+1-278-287-3403x47109,2020-12-10
daa99045-3d45-4537-9eba-106f129f3f69,Melinda Ford,Sud,lyonsbrittney@martin-wright.net,001-645-258-9546,2022-06-13
0003110f-941f-4e08-a8e0-72d98e585d54,Casey Wilson,Isole,lpowers@yahoo.com,001-668-396-9747x32920,2023-04-12
5bc5a66d-284b-4d35-956f-134be4f0fbc4,Zachary Hernandez,Isole,clarkjeffrey@yahoo.com,858-510-7983,2024-09-30
4695b9aa-e5f1-4250-be74-d5757028fdca,Stacey Blankenship,Centro,brownmaxwell@martin-flores.biz,(153)905-7923x20613,2023-01-17
7e94f22c-c0b4-4c1f-8c3a-139469041b80,Michael Padilla,Nord,kellernicole@hotmail.com,(848)824-5396x227,2021-05-27
a0c7306f-44b1-49bf-a6e0-6c7c7faf4308,Michael Hall,Centro,john74@yahoo.com,001-241-036-0147x0849,2024-04-15
